,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
49,巨,32,橋本　到,.219,68,151,137,30,1,10,4,9,1,35,3,1,.336,.270,.606,3.10,3.08
50,巨,44,大田　泰示,.277,60,138,130,36,1,3,3,7,1,39,0,0,.354,.319,.673,4.18,4.03
51,巨,23,相川　亮二,.313,40,114,99,31,4,17,1,12,0,16,2,1,.505,.384,.889,7.30,7.16
52,巨,91,堂上　剛裕,.276,59,104,98,27,3,13,0,4,0,20,1,6,.480,.301,.781,4.16,4.05
53,巨,33,金城　龍彦,.233,36,95,90,21,1,10,1,3,1,11,1,0,.300,.266,.566,2.85,2.85
54,巨,40,加藤　健,.240,35,83,75,18,0,3,0,4,0,24,2,2,.280,.272,.552,2.25,2.48
55,巨,68,吉川　大幾,.250,47,60,56,14,0,4,3,2,0,15,2,1,.375,.276,.651,3.65,3.40
56,巨,36,中井　大介,.209,29,47,43,9,0,2,0,2,1,9,1,0,.233,.261,.493,1.97,2.04
57,巨,27,實松　一成,.182,22,39,33,6,1,3,1,2,2,9,2,0,.273,.270,.543,2.62,2.85
58,巨,31,松本　哲也,.147,44,37,34,5,0,0,3,2,0,10,1,0,.176,.194,.371,1.01,1.16
59,巨,38,岡本　和真,.214,17,31,28,6,1,4,2,2,1,4,0,3,.321,.290,.612,2.22,2.38
60,巨,00,寺内　崇幸,.250,31,29,24,6,0,3,4,0,1,6,4,0,.250,.280,.530,3.18,3.13
61,巨,5,セペダ,.000,20,28,21,0,0,1,0,7,0,6,0,1,.000,.250,.250,-0.40,0.09
62,巨,12,鈴木　尚広,.294,65,22,17,5,1,4,10,2,1,4,2,0,.529,.400,.929,9.55,9.23
63,巨,93,カステヤーノス,.100,6,22,20,2,0,1,0,2,0,11,0,0,.150,.182,.332,0.07,0.29
64,巨,21,フランシスコ,.167,5,18,18,3,0,1,0,0,0,11,0,0,.167,.167,.333,-0.07,0.11
65,巨,48,矢野　謙次,.071,8,14,14,1,0,1,0,0,0,3,0,0,.071,.071,.143,-1.70,-1.43
66,巨,65,辻　東倫,.000,2,4,3,0,0,0,0,1,0,0,0,0,.000,.250,.250,0.09,0.63
67,巨,56,坂口　真規,.000,1,3,3,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
68,巨,52,隠善　智也,1.000,3,2,2,2,0,2,0,0,0,0,0,0,1.000,1.000,2.000,∞,∞
69,巨,51,横川　史学,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,巨,0,藤村　大介,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,巨,53,河野　元貴,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,巨,66,北　篤,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
